         r          m         x cg        y cg        ri_x        ri_y        x_sh         y_sh           E           G        I_x        I_y       K            kx        ky        A       theta s        x e         y e
         [m]    [kg/m]         [m]         [m]         [m]         [m]         [m]          [m]      [N/m2]      [N/m2]       [m4]       [m4]     [m4]          [-]       [-]      [m2]        [deg]        [m]         [m]
================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
nacelle/turret (stiff) + shaft (flexible) + hub (stiff)
$3 15
================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
$4 11
      0.000    18088.2           0           0       0.641       0.641           0            0    2.10E+11    8.08E+10      0.946      0.946    1.891        0.853     0.853     2.301            0          0           0
      0.400    18088.2           0           0       0.641       0.641           0            0    2.10E+11    8.08E+10      0.946      0.946    1.891        0.853     0.853     2.301            0          0           0
      0.410     6587.5           0           0       0.543       0.543           0            0    2.10E+11    8.08E+10      0.247      0.247    0.494        0.672     0.672     0.838            0          0           0
      1.900     6587.5           0           0       0.543       0.543           0            0    2.10E+11    8.08E+10      0.247      0.247    0.494        0.672     0.672     0.838            0          0           0
      3.700    10777.4           0           0       0.625       0.625           0            0    2.10E+11    8.08E+10      0.535      0.535    1.071        0.714     0.714     1.371            0          0           0
      3.710    35209.4           0           0       0.799       0.799           0            0    2.10E+11    8.08E+10      2.856      2.856    5.712        0.958     0.958     4.479            0          0           0
      4.250    35209.4           0           0       0.799       0.799           0            0    2.10E+11    8.08E+10      2.856      2.856    5.712        0.958     0.958     4.479            0          0           0
      4.260    10801.0           0           0       0.625       0.625           0            0    2.10E+11    8.08E+10      0.537      0.537    1.074        0.714     0.714     1.374            0          0           0
      5.000    16209.4           0           0       0.587       0.587           0            0    2.10E+11    8.08E+10      0.710      0.710    1.419        0.881     0.881     2.062            0          0           0
      5.250    54335.2           0           0       0.854       0.854           0            0    2.10E+11    8.08E+10      5.045      5.045   10.091        1.182     1.182     6.912            0          0           0
      5.400    54335.2           0           0       0.854       0.854           0            0    2.10E+11    8.08E+10      5.045      5.045   10.091        1.182     1.182     6.912            0          0           0

