1 HAWC_AE data
1 30 r,c,t/c prin.set
  0.000000000000000e+00   4.601555913662855e+00   1.000000000000000e+02 1
  3.346974010018510e+00   4.602483590874814e+00   9.757344369907062e+01 1
  6.930313553518005e+00   4.738084507501810e+00   8.219399655967051e+01 1
  1.073919676156165e+01   5.087153897118189e+00   6.079186717815836e+01 1
  1.475696941008481e+01   5.590559925891161e+00   4.471797079057666e+01 1
  1.896103645056070e+01   5.983564566197323e+00   3.591632475679263e+01 1
  2.332306724006119e+01   5.990571375870445e+00   3.305942229202088e+01 1
  2.780954506304477e+01   5.766006260216894e+00   3.257823949050283e+01 1
  3.238265902929106e+01   5.432486252904025e+00   3.260689767070303e+01 1
  3.700150037334851e+01   5.028604504374929e+00   3.247792738477091e+01 1
  4.162348943646634e+01   4.599147531130948e+00   3.180242232333777e+01 1
  4.620593016686961e+01   4.172884825236767e+00   3.061017649934787e+01 1
  5.070757431344716e+01   3.764755788939900e+00   2.913239004636057e+01 1
  5.509007525301624e+01   3.387039571509927e+00   2.757815291650344e+01 1
  5.931922054045605e+01   3.048086993477985e+00   2.612116160810240e+01 1
  6.336587604523575e+01   2.750638360525546e+00   2.488739471332767e+01 1
  6.720658393602585e+01   2.493676352088750e+00   2.396279321748209e+01 1
  7.082381662623743e+01   2.273706560151481e+00   2.333058735146961e+01 1
  7.420591566216662e+01   2.086956970144028e+00   2.293331646219024e+01 1
  7.734674765640521e+01   1.929214368195257e+00   2.277099206283198e+01 1
  8.024517308541840e+01   1.795760266901624e+00   2.271450154107489e+01 1
  8.290435936484631e+01   1.682153546319465e+00   2.256562905548268e+01 1
  8.533104295910178e+01   1.583766968197003e+00   2.234429940709505e+01 1
  8.753477068362812e+01   1.488108273365437e+00   2.207774847818143e+01 1
  8.952717925754939e+01   1.381630292132815e+00   2.179470018265841e+01 1
  9.132131678657099e+01   1.256779076809434e+00   2.152558737165414e+01 1
  9.293109386959651e+01   1.112070166633562e+00   2.129746497712838e+01 1
  9.437077833353266e+01   9.419337702208813e-01   2.113019012506941e+01 1
  9.565461679653106e+01   7.653423479722581e-01   2.103197995498312e+01 1
  9.679653346857876e+01   9.619999999999997e-02   2.100000000000000e+01 1
