# Wind speed (m/s) 	 Rotor rotational speed (rpm) 	 Pitch angle (deg) 	 Rotor electrical power (W) 	 Rotor aerodynamic power (W) 	 Rotor thrust (N) 	 Rotor aerodynamic torque (Nm) 	 Blade root flapwise moment (Nm)	 Rotor electrical power coefficient (-) 	 Rotor aerodynamic power coefficient (-) 	 Rotor thrust coefficient (-) 	 Rotor aerodynamic torque coefficient
7.748408611143048574e+00	6.722797103043570033e+00	0.000000000000000000e+00	3.723706606998054776e+06	3.944604456565736327e+06	8.686332925680053886e+05	5.603054396990815178e+06	1.850437566471420601e+07	4.297950236450621686e-01	4.552913386070573942e-01	7.768459631292186085e-01	5.093461180114311482e-02
7.937712647515038356e+00	6.887044071832213454e+00	0.000000000000000000e+00	4.003354316709570121e+06	4.240841437192341313e+06	9.115955291822755244e+05	5.880179106377081946e+06	1.941959428747330606e+07	4.297950236450620576e-01	4.552913386070572832e-01	7.768459631292187195e-01	5.093461180114311482e-02
8.090907197325154954e+00	7.019961155500777039e+00	0.000000000000000000e+00	4.239645745983846486e+06	4.491150154643905349e+06	9.471219032273131888e+05	6.109339337748948485e+06	2.017640775175007805e+07	4.297950236450621686e-01	4.552913386070573942e-01	7.768459631292184975e-01	5.093461180114311482e-02
8.207652130362536269e+00	7.121253244884139022e+00	0.000000000000000000e+00	4.425830054682497866e+06	4.688379295214510523e+06	9.746514269972434267e+05	6.286916481666782871e+06	2.076286541353671998e+07	4.297950236450620021e-01	4.552913386070572277e-01	7.768459631292184975e-01	5.093461180114312176e-02
8.287688243680719324e+00	7.190695446213140052e+00	0.000000000000000000e+00	4.556570853710588068e+06	4.826875904354437254e+06	9.937525416963945609e+05	6.410126800242183730e+06	2.116977383511350304e+07	4.297950236450622241e-01	4.552913386070574497e-01	7.768459631292187195e-01	5.093461180114311482e-02
8.330837837093028497e+00	7.228133580434998429e+00	0.000000000000000000e+00	4.628112983231741004e+06	4.902662058508200571e+06	1.004127363627185812e+06	6.477048816856885329e+06	2.139078724100577831e+07	4.297950236450621686e-01	4.552913386070573942e-01	7.768459631292184975e-01	5.093461180114312870e-02
8.337005107711402019e+00	7.233484525529357612e+00	0.000000000000000000e+00	4.638399089291997254e+06	4.913558357300844975e+06	1.005614613175694016e+06	6.486642209366116673e+06	2.142246991376104951e+07	4.297950236450621686e-01	4.552913386070573942e-01	7.768459631292186085e-01	5.093461180114312176e-02
8.367833852770019121e+00	7.260232649998746624e+00	0.000000000000000000e+00	4.690045494621304795e+06	4.968268532437822782e+06	1.013065527681005071e+06	6.534703778773805127e+06	2.158119572156924009e+07	4.297950236450622796e-01	4.552913386070575052e-01	7.768459631292187195e-01	5.093461180114313563e-02
8.435590165982066679e+00	7.319020456506495798e+00	0.000000000000000000e+00	4.804899690938981250e+06	5.089936113282819279e+06	1.029538007875384064e+06	6.640958286138583906e+06	2.193210670351561531e+07	4.297950236450621131e-01	4.552913386070573387e-01	7.768459631292187195e-01	5.093461180114313563e-02
8.540123611387983260e+00	7.409717421420739747e+00	0.000000000000000000e+00	4.985748651016677730e+06	5.281513401500718668e+06	1.055212079567221925e+06	6.806566974537257105e+06	2.247903792465733737e+07	4.297950236450620576e-01	4.552913386070572832e-01	7.768459631292186085e-01	5.093461180114311482e-02
